"SlNo","ItemCode","Item Name","UOM","Stock","LRD","LID","Value","BalValue","W/of Date","C/R/I/ST","Location",""
"529","1603924","LEAD WASHER , P.NO.MH016107400","NOS","18","16-May-2015","28-Jun-2014","99.00","","","","",""
"530","1603925","CUP WASHER , P.NO.MH015832900","NOS","18","16-May-2015","28-Jun-2014","99.00","","","","",""
"531","1603926","ACCELERATOR PEDAL , P.NO.MH063688800","NOS","3","13-Apr-2017","11-Nov-2017","433.60","","","","",""
"532","1603927","BANJO , P.NO.MH870001394","NOS","3","13-Apr-2017","29-Sep-2016","477.68","","","","",""
"533","1603929","STOP LIGHT SWITCH WITH WASHER , P.NO.MH0899","NOS","1","16-May-2015","8-Dec-2015","154.33","","","","",""
"534","1603930","CONNECTOR LINK , P.NO.MH08977","NOS","4","16-May-2015","11-Nov-2017","1396.66","","","","",""
"535","1603931","STEERING KNUCKLE PIN , P.NO.MH 066616800","NOS","2","16-May-2015","27-Sep-2017","894.00","","","","",""
"536","1603934","HOSE(REPLACE BY MH08002), P.NO. MH791370454","NOS","6","24-Mar-2016","24-Mar-2016","11446.50","","","","",""
"537","1603935","RETURN LINE FILTER, P.NO:MH 14886-80.","NOS","13","9-Jul-2015","5-Nov-2016","20309.35","","","","",""
"538","1603936","RETURN LINE FILTER, P.NO:MH 785374401","NOS","1","16-May-2015","5-Nov-2016","228.60","","","","",""
"539","1603937","HOIST CYLINDER SEAL KIT, P.NO: MH16200-650","NOS","2","16-May-2015","5-Jul-2018","5064.00","","","","",""
"540","1603947","SPECIAL WASHER, P.NO.MH056917500","NOS","3","13-Apr-2017","9-May-2018","136.70","","","","",""
"541","1603948","RUBBER WASHER, P.NO.MH05617700","NOS","12","13-Apr-2017","","151.16","","","","",""
"542","1603949","ACCELERATOR ROD, P.NO.MH10190","NOS","1","13-Apr-2017","11-Nov-2017","84.56","","","","",""
"543","1603950","WASHER, P.NO.MH015026200","NOS","2","13-Apr-2017","11-Nov-2017","10.79","","","","",""
"544","1603951","BALL JOINT , P.NO.MH785763100","NOS","2","13-Apr-2017","30-Oct-2017","295.05","","","","",""
"545","1603952","THROTTLE CROSS SHAFT BKT WELD T , P.NO.MH1","NOS","2","13-Apr-2017","11-Nov-2017","478.56","","","","",""
"546","1603953","THROTTLE CONTROL CROSS SHAFT, P.NO.MH065","NOS","6","13-Apr-2017","","43.20","","","","",""
"547","1603954","ACCELERATOR RETAIN SPRING, P.NO.MH7852038","NOS","5","13-Apr-2017","30-Oct-2017","107.81","","","","",""
"548","1603955","YOKE END, P.NO.MH016548400","NOS","3","13-Apr-2017","","515.44","","","","",""
"549","1603956","CLUTCH PEDAL LEVER, P.NO.MH065376300","NOS","3","13-Apr-2017","","2574.55","","","","",""
"550","1603957","PIVOT PIN, P.NO.MH064597100","NOS","1","13-Apr-2017","3-Nov-2017","205.10","","","","",""
"551","1603959","YOKE PIN, P.NO.MH023031500","NOS","1","13-Apr-2017","11-Nov-2017","41.38","","","","",""
"552","1603960","ROD, P.NO.MH500144301","NOS","1","13-Apr-2017","3-Nov-2017","145.72","","","","",""
"553","1603963","SHIM WASHER, P.NO.MH870001234","NOS","2","13-Apr-2017","30-Oct-2017","26.99","","","","",""
"554","1603964","YOKE PIN, P.NO.MH021848800","NOS","2","13-Apr-2017","11-Nov-2017","50.37","","","","",""
"555","1603968","SPECIAL WASHER, P.NO.MH08973","NOS","12","13-Apr-2017","","302.20","","","","",""
"556","1603969","SPLIT PIN, P.NO.MH992826225","NOS","13","13-Apr-2017","13-Nov-2017","70.16","","","","",""
"557","1603970","YOKE PIN, P.NO.MH09185","NOS","2","13-Apr-2017","13-Nov-2017","388.62","","","","",""
"558","1603971","SPACER, P.NO.MH08978","NOS","2","13-Apr-2017","13-Nov-2017","271.67","","","","",""
"559","1603972","EXPANSION PLUG, P.NO.MH023818300","NOS","12","13-Apr-2017","","140.29","","","","",""
"560","1603973","BUSH, P.NO.MH09186","NOS","10","13-Apr-2017","22-Nov-2017","3103.49","","","","",""
"561","1603974","GRUB SCREW, P.NO.MH056142200","NOS","1","13-Apr-2017","30-Oct-2017","43.18","","","","",""
"562","1603975","CLAMP SCREW, P.NO.MH08980","NOS","2","13-Apr-2017","13-Nov-2017","120.55","","","","",""
"563","1603976","HUB CAP TRAIL WHEEL, P.NO.MH514008300","NOS","4","13-Apr-2017","13-Nov-2017","453.37","","","","",""
"564","1603977","HOSE SHEAVE, P.NO.MH508624300","NOS","3","13-Apr-2017","","3030.64","","","","",""
"565","1603981","HEX.HD.SCREW M10 X 1.5 X 45 LG, P.NO.MH992175","NOS","1","13-Apr-2017","30-Oct-2017","17.09","","","","",""
"566","1603984","SEAL KIT, P.NO. MH870001609","NOS","16","12-Jul-2018","","","","","","",""
"567","1603985","PISTON,P.NO.MH870001999","NOS","16","12-Jul-2018","","","","","","",""
"568","1605170","BEARING 7852 99901","NOS","1","13-Feb-2004","10-Oct-2009","1286.50","","","","",""
"569","1606005","FUEL FILTER PRT 81362364","NOS","5","21-Nov-2000","28-Nov-2011","32.05","","","","",""
"570","1606018","ENGINE OIL FILTER 81362000","NOS","6","21-Nov-2000","17-Jan-2014","207.28","","","","",""
"571","1609065","DRIVER SEAT, P.NO  : Y05.42.901.0","NOS","1","2-Feb-2018","","3770.00","","","","",""
"572","1609066","ARM REST, P.NO:V19.46.038.0","NOS","1","2-Feb-2018","15-Mar-2018","841.00","","","","",""
"573","1611043","ELEMENT P.NO:380TC03018.","NOS","4","21-Mar-2013","30-Nov-2013","1963.34","","","","",""
"574","1611044","CARTRIDGE FUEL FILTER  30Z7180369","NOS","5","10-Dec-2012","30-Sep-2013","2351.67","","","","",""
"575","1611045","FUEL FILTER P.NO.600319121 / 60319120.","NOS","3","9-Jul-2013","2-Dec-2013","2845.30","","","","",""
"576","1611047","ELEMENT ASSY AIR CLEANER P.NO.31Z1200272.","NOS","2","9-Jul-2013","3-Jan-2014","11411.00","","","","",""
"577","1611048","LUB OIL CARTRIDGE P.NO.30Z5180495.","NOS","7","9-Jul-2013","30-Sep-2013","3578.46","","","","",""
"578","1611059","STEERING CYLINDER SEAL KIT P.NO. 380HCO2106","NOS","1","30-Nov-2012","27-Nov-2013","7545.75","","","","",""
"579","1611069","ACCELERATOR CABLE P.NO.  4244311222","NOS","5","6-Jun-2013","13-Jul-2013","20909.17","","","","",""
"580","1611100","ALTERNATOR P.NO.6008215630","NOS","1","27-Jun-2014","2-Mar-2012","122960.00","","","","",""
"581","1611118","HOSE  P. NO. CHH1802012","NOS","1","16-Jul-2008","19-Oct-2011","353.29","","","","",""
"582","1611150","SPIDER ASSY  P.NO.764PT11019","NOS","1","13-Jul-2012","24-Jan-2014","22638.66","","","","",""
"583","1611153","DUMP CYLINDER KIT 380HC02098.","NOS","2","13-Jan-2015","23-Jul-2012","61073.00","","","","",""
"584","1611163","WATER PUMP ASSEMBLY   P.No: 6138611560 / 613","NOS","1","5-Dec-2013","6-Jul-2013","86675.00","","","","",""
"585","1611167","FUEL INJECTION PUMP ASSEMBLY 6138721110","NOS","1","22-Nov-2007","","20785.40","","","","",""
"586","1611171","TURBO CHARGER ASSEMBLY","NOS","1","16-Sep-2014","26-Nov-2011","275201.00","","","","",""
"587","1611185","AIR COMPRESSOR ASSEMBLY  P.NO. 6138813111","NOS","1","18-Aug-2007","","5201.50","","","","",""
"588","1611210","SPIDER ASSY P.NO:764 PZ 03016 / 2832011210W","NOS","1","27-Oct-2012","24-Jan-2014","26966.66","","","","",""
"589","1611220","SKF MAKE BEARING (IMPORTED) 32215 J2/Q","NOS","4","29-Jul-2013","20-Aug-2013","11280.00","","","","",""
"590","1611253","HOSE PART NO. 6138616120","NOS","1","27-Jun-2014","8-Mar-2010","3487.00","","","","",""
"591","1611262","DRIVE SHAFT 764PT02003.","NOS","2","21-Jan-2015","13-Jan-2011","172126.00","","","","",""
"592","1611273","KEY P.NO: CFK0200516","NOS","4","30-Jan-2012","4-Apr-2011","16.30","","","","",""
"593","1611281","CARTRIDGE P.NO. 600311829/ 3027180369","NOS","8","9-Jul-2013","15-Nov-2012","3763.00","","","","",""
"594","1611282","LIFT ARM KIT 380SK01053.","NOS","2","17-Dec-2013","28-Aug-2013","6544.00","","","","",""
"595","1611283","BEARING 4T-30316","NOS","1","5-Mar-2014","12-Nov-2013","5713.00","","","","",""
"596","1611284","BEARING JM 716649/ 716610","NOS","1","20-Mar-2014","12-Nov-2013","2481.00","","","","",""
"597","1611287","ELEMENT OIL COOLER","NOS","1","3-Mar-2014","30-Jan-2014","58708.00","","","","",""
"598","1612006","ENGINE AIR FILTER INNER","NOS","1","20-Sep-2014","2-Feb-2015","4549.75","","","","",""
"599","1612007","ENGINE AIR FILTER OUTER","NOS","1","20-Sep-2014","2-Feb-2015","5005.50","","","","",""
"600","1612008","BUCKET TOOTH,P.NO: Z0105511123","NOS","6","21-Jun-2018","20-Jul-2018","23549.50","","","","",""
"601","1612010","BRAKE SHOE, P.NO.6561J030200.","NOS","36","21-Jun-2018","14-Jun-2018","","","","","",""
"602","1612014","HYDRAULIC OIL FILTER-INLET P.NO.W0104502102","NOS","1","3-Sep-2016","19-Feb-2018","4049.00","","","","",""
"603","1612034","PARKING ELECTROMAGNET, W6560504021","NOS","2","12-Mar-2016","21-Oct-2016","45603.50","","","","",""
"604","1612046","START KEY  P.NO. W0105306009","NOS","3","19-May-2017","24-Oct-2017","9731.25","","","","",""
"605","1612057","SEALING ASSY","NOS","2","19-May-2017","3-Nov-2016","12106.00","","","","",""
"606","1612058","STEERING CYLINDER   P.NO: 65605021","NOS","2","10-Dec-2016","24-Feb-2017","119333.50","","","","",""
"607","1612059","SEALING ASSY W65605023000.","NOS","2","19-May-2017","9-Jun-2017","13652.50","","","","",""
"608","1612061","SEALING ASSY W65605024000.","NOS","4","19-May-2017","3-Nov-2016","33701.00","","","","",""
"609","1612062","LIFTING CYLINDER ASSEMBLY,","NOS","1","19-May-2017","19-Jul-2016","108578.00","","","","",""
"610","1612063","SLEEVE, P.NO: Z0105511011","NOS","5","20-Sep-2014","30-Mar-2016","25054.37","","","","",""
"611","1612064","PIN P.NO:Z0105511012","NOS","10","21-Jun-2018","1-Aug-2016","","","","","",""
"612","1612065","SLEEVE, P.NO:Z0105511013","NOS","4","20-Sep-2014","28-Mar-2016","16452.50","","","","",""
"613","1612066","PIN, P.NO:Z0105510003","NOS","7","2-Apr-2015","26-Nov-2015","29981.19","","","","",""
"614","1612067","SLEEVE P.NO:Z0105511003","NOS","2","10-Dec-2016","25-Jun-2018","9868.50","","","","",""
"615","1612070","PIN P.NO:Z 0105511004","NOS","1","10-Dec-2016","6-Nov-2017","5827.43","","","","",""
"616","1612076","UNIVERSAL JOINT ASSY  P.NO: Z0150504230","NOS","2","10-Dec-2016","30-May-2016","16848.00","","","","",""
"617","1612079","STEERING GEAR PUMP,","NOS","1","19-May-2017","27-Oct-2016","103923.00","","","","",""
"618","1612081","FENNER POLY V BELT 8PK 790.","NOS","7","31-Dec-2014","13-Feb-2017","1867.60","","","","",""
"619","1612082","FENNER POLY V BELT 8 PK-1062.","NOS","7","31-Dec-2014","13-Feb-2017","2494.80","","","","",""
"620","1612113","YNE JIN BRAND BRAKE HOSE","NOS","2","30-Dec-2014","22-Aug-2014","1677.00","","","","",""
"621","1612123","JOINT, P.NO. 614040021","NOS","12","25-Feb-2015","13-Sep-2011","","","","","",""
"622","1612133","BEARING  50 P.NO:B0150210050","NOS","5","20-Sep-2014","7-Sep-2016","7925.00","","","","",""
"623","1612141","HOSE P.NO:6561J180700.","NOS","1","23-Jul-2013","1-Sep-2014","887.50","","","","",""
"624","1612149","OPERATING   SHAFT  P.NO: Z0105306618","NOS","1","16-Mar-2015","15-Jun-2016","2008.50","","","","",""
"625","1612153","OPERATING SOFT SHAFT, P.NO:6561M190200","NOS","4","18-Jul-2018","20-Jul-2018","","","","","",""
"626","1612156","OIL TUBE, P.NO:Z0105408006.","NOS","1","30-Dec-2014","25-Aug-2014","1176.00","","","","",""
"627","1612163","RIM  P.NO:Z0104504504","NOS","1","10-Dec-2016","28-Nov-2017","66876.00","","","","",""
"628","1612199","PRIORITY VALVE","NOS","1","2-Apr-2015","9-Feb-2016","35401.50","","","","",""
"629","1612200","EXHAUST GAS PIPE ASSY.","NOS","2","8-Oct-2015","13-Jan-2012","13432.00","","","","",""
"630","1612203","RECTANGLE SEAL, P.NO: 6561J140200.","NOS","30","8-Jun-2016","8-Dec-2017","1800.00","","","","",""
"631","1612205","PISTON P.NO:6561J230100","NOS","16","24-Jun-2016","11-Jun-2018","12360.00","","","","",""
"632","1612206","DUST RING P.NO: 6561J140400.","NOS","20","8-Jun-2016","11-Jun-2018","1680.00","","","","",""
"633","1612208","REAR DRIVING SHAFT","NOS","2","23-Mar-2017","7-May-2016","53572.00","","","","",""
"634","1612209","BRAKE BOOSTER  UNIT","NOS","4","9-Jun-2017","31-Aug-2017","23860.00","","","","",""
"635","1612210","PIN  P.NO. 6561L190200","NOS","1","20-Jun-2018","16-Jan-2015","","","","","",""
"636","1612211","DUST PROOF RING 80  P.NO. 6561L140200","NOS","2","20-Jun-2018","18-Dec-2014","320.00","","","","",""
"637","1612213","FLANGE  P.NO. 6561L160300","NOS","2","21-Jun-2018","20-Mar-2014","","","","","",""
"638","1612214","PIN P.NO. 6561L190100","NOS","1","20-Jun-2018","8-Apr-2013","","","","","",""
"639","1612215","DUST PROOF RING  P.NO. 6561L140300","NOS","2","18-Jul-2018","18-Dec-2014","249.50","","","","",""
"640","1612216","FLANGE  P.NO. 6561L160200","NOS","2","7-Jul-2015","20-Mar-2014","4258.00","","","","",""
"641","1612221","LUBE OIL FILTER,DONALDSON MAKE P.NO.P553771","NOS","21","7-Sep-2016","7-Jun-2018","16255.34","","","","",""
"642","1612222","14 MM HIGH PRESSURE DIESEL HOSE WITH","NOS","5","12-Oct-2015","14-Mar-2015","2150.00","","","","",""
"643","1612223","14 MM HIGH PRESSURE DIESEL HOSE WITH","NOS","5","12-Oct-2015","2-Jan-2016","2658.33","","","","",""
"644","1612224","14 MM HIGH PRESSURE DIESEL HOSE WITH","NOS","2","12-Oct-2015","23-Nov-2015","1300.00","","","","",""
"645","1612225","14 MM HIGH PRESSURE DIESEL HOSE WITH STANDA","NOS","2","12-Oct-2015","5-Nov-2016","1810.00","","","","",""
"646","1612233","LOCK RING , P.NO: Z0104504501","NOS","1","25-Mar-2017","28-Nov-2017","7352.00","","","","",""
"647","1612237","3/4"" VERY HIGH PRESSURE HOSE 600 MM LONG 90","NOS","2","23-Oct-2015","11-Jul-2015","4370.00","","","","",""
"648","1612246","""T""CONNECTOR,P.NO.Z0105408001","NOS","1","15-Apr-2016","27-Aug-2014","416.00","","","","",""
"649","1612247","""T""JOINT, P.NO.6561J110100.","NOS","2","30-Dec-2014","27-Aug-2014","724.00","","","","",""
"650","1612248","OIL PIPE,P.NO.6561J180600","NOS","1","12-Mar-2016","27-Aug-2014","709.00","","","","",""
"651","1612249","""T"" TUBE, P.NO.Z0105508310.","NOS","1","30-Dec-2014","27-Aug-2014","3603.00","","","","",""
"652","1612250","AIR FILTER DONALDSON MAKE","NOS","23","7-Sep-2016","20-Nov-2017","39345.47","","","","",""
"653","1612251","CORNER TOOTH RH,","NOS","1","21-Jun-2018","20-Jul-2018","10453.00","","","","",""
"654","1612252","CORNER TOOTH LH,","NOS","1","21-Jun-2018","20-Jul-2018","10453.00","","","","",""
"655","1612254","TILT CYLINDER(RIGHT),","NOS","2","19-May-2017","15-Oct-2015","150226.00","","","","",""
"656","1612255","ANGTE BEARING GE60ES-C3,","NOS","1","2-Apr-2015","8-Jan-2018","10990.83","","","","",""
"657","1612257","SUPPORT P.NO: Z0105510001","NOS","2","13-Jan-2017","25-Jan-2017","5141.33","","","","",""
"658","1612259","BEARING 27311, P.NO.B0702731100","NOS","2","10-Sep-2015","","7909.00","","","","",""
"659","1612260","BEARING 27312, P.NO.B0702731200","NOS","1","10-Sep-2015","","6696.00","","","","",""
"660","1612261","HAND BRAKE ASSY.P.NO.W6560503332","NOS","4","10-Sep-2015","","26888.00","","","","",""
"661","1612263","FUEL FILTER(PRE), P.NO.KYX009729DOWALDSON M","NOS","7","12-Aug-2015","19-Sep-2017","1187.90","","","","",""
"662","1612264","FUEL FILTER(FINE), P.NO.KYX009728DOWALDSON M","NOS","13","12-Aug-2015","19-Sep-2017","2653.30","","","","",""
"663","1612277","STEERING MECHANISM ASSY,P.NO: 65605019","NOS","1","25-Mar-2017","","87863.00","","","","",""
"664","1612280","BLAKE VALVE, P.NO: W0105508200","NOS","1","10-Dec-2016","6-Feb-2017","14310.00","","","","",""
"665","1612281","GOVERNOR ASSEMBLY, P.NO: W6560500104","NOS","1","10-Dec-2016","","6244.00","","","","",""
"666","1612283","1/2"" HIGH PRESSURE HOSE- 4 SP, 6000 PSI, 1350 M","NOS","2","13-Aug-2016","24-Feb-2017","3700.00","","","","",""
"667","1612284","1/2"" HIGH PRESSURE HOSE- 4 SP, 6000 PSI, 1400 M","NOS","4","13-Aug-2016","","7640.00","","","","",""
"668","1612285","1/2"" HIGH PRESSURE HOSE- 4 SP, 6000 PSI, 750 MM L","NOS","2","13-Aug-2016","24-Feb-2017","2700.00","","","","",""
"669","1612290","FUEL FILTER(PRIMARY) , P.NO.612600081334","NOS","6","19-May-2017","","20129.00","","","","",""
"670","1612291","FUEL FILTER(PRIMARY) , P.NO.612600081294","NOS","4","19-May-2017","","34113.00","","","","",""
"671","1612292","FAN BELT, P.NO.612600090682","NOS","1","19-May-2017","26-Oct-2017","3161.50","","","","",""
"672","1612293","RIBBED BELT CHARGING ALTERNATOR, P.NO.6126","NOS","1","19-May-2017","26-Oct-2017","5978.50","","","","",""
"673","1612294","HOSE INLET, P.NO.612600160028","NOS","2","19-May-2017","","4864.00","","","","",""
"674","1612295","RUBBER PIPE, P.NO.612600160003","NOS","2","19-May-2017","","12971.00","","","","",""
"675","1612296","PLATE, P.NO.6561L440100","NOS","1","18-Jul-2018","","","","","","",""
"676","1612297","FLANGE, P.NO.6561L160100","NOS","1","20-Jun-2018","","","","","","",""
"677","1612298","PLATE, P.NO. 6561L440200","NOS","1","20-Jun-2018","","","","","","",""
"678","1612300","BEARING, P.NO.6561MO90100","NOS","8","21-Jun-2018","","","","","","",""
"679","1612302","SLEEVE, P.NO.6561P090200","NOS","8","20-Jun-2018","","","","","","",""
"680","1612303","PIN, P.NO.6561P300900","NOS","8","21-Jun-2018","","","","","","",""
"681","1612304","BEARING,P.NO.6561P000100","NOS","8","21-Jun-2018","","","","","","",""
"682","1612305","PIN,P.NO.6561P301000","NOS","8","21-Jun-2018","","","","","","",""
"683","1612306","SLEEVE,P.NO.6561P090300","NOS","8","21-Jun-2018","","","","","","",""
"684","1612307","PIN,P.NO.6561P301100","NOS","2","18-Jul-2018","","","","","","",""
"685","1612308","PIN,P.NO.6561P301200","NOS","8","21-Jun-2018","","","","","","",""
"686","1612309","SHEATH,P.NO.64561L090200","NOS","6","21-Jun-2018","","","","","","",""
"687","1620978","SEAL O-RING (A2916 * 6880101)","NOS","2","23-Feb-1996","","0.11","","","","",""
"688","1672216","HALOGEN BULB SUITABLE FOR FRONT END","NOS","25","16-Mar-2017","9-Sep-2016","3500.00","","","","",""
"689","1672677","SPRING 81802370","NOS","2","22-Oct-1998","","52.00","","","","",""
"690","1672706","NOZZLE TUBE SET- P6 ENGINE","SET","1","28-Apr-2004","","26.50","","","","",""
"691","1672750","12 V, DC FAN SUITABLE FOR FIXING IN AUTOMOBILE.1","NOS","5","1-Sep-2017","30-Dec-2017","5033.33","","","","",""
"692","1672764","BRAKE CHAMBER, P.NO.81043727","NOS","3","13-Aug-2016","11-Sep-2015","19526.00","","","","",""
"693","1672771","REVERSE ALARAM, P.NO.81049392.","NOS","1","6-Aug-2016","13-Aug-2016","2294.67","","","","",""
"694","1672772","PRESSURE SWITCH, P.NO.81016168","NOS","1","18-Aug-2016","","8932.00","","","","",""
"695","1672775","CAM SHAFT, P.NO.81007108","NOS","4","13-Aug-2016","","41319.00","","","","",""
"696","1672776","COTTER, P.NO.103400","NOS","8","13-Aug-2016","","33.00","","","","",""
"697","1672777","BUSHING, P.NO.81001266","NOS","8","13-Aug-2016","","1590.00","","","","",""
"698","1672778","SNAP RING, P.NO.9413403","NOS","4","13-Aug-2016","","189.00","","","","",""
"699","1672779","SEAL, P.NO.7X1548","NOS","4","13-Aug-2016","","3206.00","","","","",""
"700","1706005","PRESSURE SWITCH FOR AIR COMPRESSOR","NOS","3","18-Jun-2014","21-Nov-2017","6540.00","","","","",""
"701","1810002","WORM SHAFT","NOS","1","17-Jan-1996","23-Aug-2000","409.94","","","","",""
"702","1813007","WHEEL SHAFT, RADICON GEAR BOX U 500","NOS","1","17-Jun-1997","","118.98","","","","",""
"703","1825009","N 3 INCH -  WORM SHAFT 25:1 SNGL EXTN WITH F &","NOS","1","22-Aug-2016","19-Mar-2015","15875.00","","","","",""
"704","1901051","TELEPHONE ROSETTE BOX(SINGLE LINE)","NOS","25","1-Sep-2017","6-May-2017","375.00","","","","",""
"705","1902011","TWO PAIR TELEPHONE CABLE, PVC INSULATED, C","MTR","90","23-Apr-2016","22-May-2017","428.50","","","","",""
"706","1902012","TELEPHONE CABLE  3  PAIR, PVC INSULATED, COPP","MTR","180","23-Apr-2016","22-Oct-2015","1255.00","","","","",""
"707","2001026","EXTERNAL CIRCILP 37. 1/2 ""  P. NO - GB 25","NOS","6","","23-Sep-1998","1.63","","","","",""
"708","2002002","DISC ASSY.9900KG BY20KGS","NOS","1","","31-Mar-1989","269.20","","","","",""
"709","2101010","ROTATING RECTIFIER ASSEMBLY  WITH DIODE FU","NOS","1","13-Jan-2017","5-Mar-2014","11873.00","","","","",""
"710","2101012","G.E MAKE HBC FUSE LINKS FOR PROTECTION OF S","NOS","15","26-May-2005","13-Dec-2010","2630.62","","","","",""
"711","2101062","ASSEMBLY ROTOR SCREEN 0146483 K6,500KVA CU","NOS","2","26-Jun-1997","","8.35","","","","",""
"712","2101117","HOSE, PLAIN  136840","NOS","1","5-Apr-2005","27-Jul-2013","1815.50","","","","",""
"713","2101270","CONNECTION EXHAUST OUTLET, P.NO. 190351","NOS","1","7-Nov-2014","21-Jun-1999","1997.00","","","","",""
"714","2101295","GASKET GOVERNOR HOUSING 102992","NOS","5","5-Apr-2005","11-Jun-2003","85.00","","","","",""
"715","2101305","HOSE  HUMP   556150","NOS","2","18-Feb-2009","24-Apr-2008","7234.00","","","","",""
"716","2101309","RING SEALING 1"" P.NO.3872281","NOS","10","5-Mar-2014","11-Jun-2003","363.00","","","","",""
"717","2101373","HOSE HUMP,P.NO.3030787","NOS","2","7-Nov-2014","4-Nov-2004","537.00","","","","",""
"718","2101404","RUBBER RING  1.25,","NOS","10","5-Mar-2014","19-Jul-2003","508.00","","","","",""
"719","2101491","CLAMP HOSE P.NO.43828 D","NOS","8","7-Nov-2014","13-Jan-2011","250.00","","","","",""
"720","2101502","MOTOR, STARTING FOR 500 KVA GENSET, VOLT:24","NOS","1","5-Sep-2015","","70317.00","","","","",""
"721","2102025","SLIP RING CORBON BRUSH FOR KIRLOSKAR","SET","16","16-Feb-2000","5-Jun-2012","274.40","","","","",""
"722","2102052","CLAMP, HOSE 43828-D","NOS","4","11-Mar-2005","22-Jun-2007","4.05","","","","",""
"723","2102179","CARBON BRUSH HOLDER ASSEMBLY","NOS","8","16-Feb-2000","6-Jun-2012","711.20","","","","",""
"724","2102182","KIT SUPER BY PASS, FILTER ELEMENT, P.NO.KIT38","NOS","1","12-Oct-2015","24-Sep-2003","905.00","","","","",""
"725","2102228","GASKET VALVE COVER P.NO.108692","NOS","1","7-Sep-2016","17-May-2014","290.00","","","","",""
"726","2102275","FAN, ENGINE, P.NO: 160566","NOS","1","3-May-2014","22-Jan-2014","249.00","","","","",""
"727","2102280","GASKET EXH OUT CONNECTION, P.NO.2880039","NOS","1","7-Nov-2014","9-Jul-2014","285.00","","","","",""
"728","2102281","TUBE WATER BY PASS, P.NO.3247006","NOS","1","7-Nov-2014","9-Jul-2014","710.00","","","","",""
"729","2102309","GASKET TURBO TO EXH.MANF, P.NO: 114753.","NOS","1","7-Sep-2016","","187.00","","","","",""
"730","2102310","GASKET, ROCKER LEVER COVER, P.NO: 4072426","NOS","3","7-Sep-2016","","1055.00","","","","",""
"731","2102311","BELT- V, P.NO: 4085738.","NOS","2","7-Sep-2016","8-Apr-2017","1404.00","","","","",""
"732","2102312","GAUGE, TEMPERATURE, P.NO: 500108G.","NOS","1","7-Sep-2016","","1120.00","","","","",""
"733","2102313","GAUGE, TEMPERATURE, P.NO: 4971772.","NOS","1","7-Sep-2016","","1258.00","","","","",""
"734","2102314","EXHAUST ROPE, P.NO: JNMC437","NOS","1","7-Sep-2016","","9581.00","","","","",""
"735","2103011","SLIP RINGS CARBON BUSHES (8 PIECES IN ONE SET","SET","1","13-Feb-2017","4-Jul-2016","3600.00","","","","",""
"736","2103015","CARBON BRUSH HOLDER","SET","1","13-Feb-2017","4-Jul-2016","4000.00","","","","",""
"737","2103016","SLIP RING ASSY.","SET","1","20-Mar-2008","22-Jun-2007","8089.00","","","","",""
"738","2104019","FLEXIBLE RUBBER DIAPHRAM FOR 20 KVA","NOS","1","15-Oct-1997","24-May-2005","83.25","","","","",""
"739","2105004","CARBON BRU.1.5X1X3/8","NOS","3","","1-Feb-1992","0.47","","","","",""
"740","2105008","CARBON BRU.38X32X19MM","NOS","19","","31-Mar-1995","5.40","","","","",""
"741","2105024","CARBON BRUSHES WOLF PORTABLE EL BLOWER.","PAI","1","6-Oct-1994","11-Oct-1994","0.92","","","","",""
"742","2107001","ELEMENT CRN REGISTOR P/N 4072352","NOS","3","1-Feb-2014","9-Jul-2012","799.00","","","","",""
"743","2107002","ELEMENT  LUB OIL  FILTER   P.NO. KIT3238204.","NOS","87","9-Sep-2017","12-Jul-2018","39478.91","","","","",""
"744","2107003","KIT SUPER  BY PASS FILTER  ELEMENT P.NO. KIT38","NOS","43","9-Sep-2017","12-Jul-2018","41182.06","","","","",""
"745","2107004","KIT  FUEL FILTER  & RING P.NO. KIT3238493.","NOS","41","9-Sep-2017","12-Jul-2018","27524.38","","","","",""
"746","2107006","ELEMENT, AIR CLEANER P.NO:4020551.","NOS","4","9-Sep-2017","13-Sep-2017","36323.39","","","","",""
"747","2107007","AIR CLRANER ELEMENT OUTER PART NO.4020551","NOS","6","29-Jul-1997","","186.34","","","","",""
"748","2107012","TRANSDUCER, P.NO. 3392445","NOS","1","27-Jun-2014","21-Apr-2018","1876.50","","","","",""
"749","2107013","MODEL 3392375","NOS","3","11-Mar-1998","","33.79","","","","",""
"750","2107016","MODEL WATER TEMP. 3878675","NOS","2","4-Aug-1998","","102.57","","","","",""
"751","2107023","SWITCH IGN. START 0504975 K2","NOS","2","4-Aug-1998","","14.87","","","","",""
"752","2107026","SEAL RECTANGULAR RING  129888","NOS","3","22-Dec-2004","","49.00","","","","",""
"753","2107038","SEAL' O' RING  P.NO:  3066914","NOS","1","29-Jun-2015","16-Jul-2004","49.00","","","","",""
"754","2107050","MMOT TYPE CONTROL CONTACTORS 2NO+2NC","NOS","5","16-Dec-1997","","183.10","","","","",""
"755","2107052","L&T SWITCH SUITABLE FOR 415V,50HZ 63A C.NOSK9","NOS","2","16-Dec-1997","","110.74","","","","",""
"756","2107067","ROTATING RECTIFIER ASSEMBLY INCLUDING SURG","SET","1","4-Aug-2000","14-Jul-1998","576.90","","","","",""
"757","2107073","MAGNETIC SWITCH P.NO 0216537 K9","NOS","4","9-Feb-1999","","87.16","","","","",""
"758","2107087","RADIATOR WASH 3 LTR  P.NO.AX1013359","NOS","5","23-Oct-2014","2-May-2017","10021.42","","","","",""
